epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.249,1.69051,2.61253,1.2219,0.59258,0.20205,0.24042,0.16119,1.36753,2.83761,1.051,0.000656085,0.000656085,0.000656085
2,271.959,1.54773,1.67208,1.19616,0.48867,0.40741,0.39581,0.2295,1.48385,2.2605,1.32713,0.00125728,0.00125728,0.00125728
3,419.785,1.55588,1.56444,1.21552,0.76106,0.58333,0.70104,0.45221,1.35343,1.90585,1.20551,0.00179247,0.00179247,0.00179247
4,554.305,1.49371,1.37459,1.16291,0.67973,0.63889,0.65606,0.41893,1.32855,1.5532,1.17729,0.001703,0.001703,0.001703
5,691.098,1.47898,1.2757,1.17932,0.84315,0.59733,0.66325,0.40868,1.41285,1.65829,1.27235,0.001604,0.001604,0.001604
6,822.819,1.43073,1.1947,1.1355,0.83586,0.64815,0.78541,0.50662,1.33492,1.39093,1.24482,0.001505,0.001505,0.001505
7,958.213,1.38959,1.08303,1.11906,0.725,0.75677,0.78014,0.51007,1.34343,1.17971,1.21399,0.001406,0.001406,0.001406
8,1096.43,1.34126,1.01254,1.09199,0.89532,0.79194,0.85484,0.56163,1.26833,1.1513,1.17845,0.001307,0.001307,0.001307
9,1232.23,1.35505,0.97878,1.10002,0.87653,0.7888,0.85468,0.57488,1.20019,1.01335,1.14941,0.001208,0.001208,0.001208
10,1367.97,1.2886,0.91565,1.07022,0.897,0.7963,0.87478,0.59479,1.20772,0.91877,1.15335,0.001109,0.001109,0.001109
11,1508.41,1.33263,0.95533,1.09039,0.88976,0.74736,0.87924,0.56686,1.23282,0.98354,1.17855,0.00101,0.00101,0.00101
12,1644.48,1.26901,0.89778,1.07705,0.85526,0.87541,0.87132,0.56452,1.21203,0.92339,1.18008,0.000911,0.000911,0.000911
13,1782.89,1.26061,0.83632,1.06993,0.87546,0.85185,0.9093,0.60226,1.23847,0.8737,1.22692,0.000812,0.000812,0.000812
14,1924.61,1.24789,0.80622,1.06971,0.82544,0.87037,0.8773,0.59795,1.17847,0.85103,1.18641,0.000713,0.000713,0.000713
15,2070.24,1.22536,0.75431,1.05412,0.90438,0.87578,0.89812,0.63651,1.13431,0.84287,1.12473,0.000614,0.000614,0.000614
16,2221.57,1.20177,0.74169,1.04617,0.87682,0.87037,0.87149,0.61149,1.10724,0.82317,1.11448,0.000515,0.000515,0.000515
17,2374.37,1.16629,0.70618,1.03677,0.8719,0.88889,0.90799,0.62772,1.07139,0.75672,1.1124,0.000416,0.000416,0.000416
18,2520.93,1.15582,0.68291,1.02102,0.88832,0.88382,0.90201,0.65065,1.05858,0.76844,1.12563,0.000317,0.000317,0.000317
19,2672.09,1.14811,0.6736,1.02335,0.84877,0.88347,0.88292,0.64376,1.05015,0.77928,1.10838,0.000218,0.000218,0.000218
20,2829.18,1.10375,0.65394,0.99413,0.89129,0.91095,0.90264,0.63376,1.0292,0.75711,1.09964,0.000119,0.000119,0.000119
